Station_ID,City,Day_Type,Hour,Number_of_Chargers,Past_Occupancy_Rate,Weather,Occupancy
1039,Delhi,Weekday,1.0,3.0,0.65,Cloudy,0
1029,Bangalore,Weekend,7.0,11.0,0.11,Rainy,0
1015,Hyderabad,Weekday,6.0,16.0,0.91,Rainy,0
1043,Bangalore,Weekend,7.0,18.0,0.35,Sunny,0
1008,Kochi,Weekday,12.0,14.0,0.51,Sunny,1
1021,Chennai,Weekend,21.0,14.0,0.18,Rainy,0
1039,Bangalore,Weekday,14.0,17.0,0.55,Cloudy,1
1019,Hyderabad,Weekend,11.0,4.0,0.94,Sunny,1
1023,Trivandrum,Weekday,14.0,5.0,0.9,Cloudy,1
1011,Delhi,Weekday,13.0,8.0,0.06,Cloudy,0
1011,Mumbai,Weekend,6.0,4.0,0.38,Cloudy,0
1024,Chennai,Weekend,16.0,10.0,0.27,Cloudy,0
1036,Hyderabad,Weekend,4.0,9.0,0.48,Sunny,0
1040,Kochi,Weekend,19.0,19.0,0.83,Rainy,1
1024,Kochi,Weekend,9.0,15.0,0.74,Rainy,1
1003,Kochi,Weekend,18.0,6.0,0.34,Sunny,0
1022,Chennai,Weekday,17.0,4.0,0.38,Cloudy,0
1002,Bangalore,Weekday,23.0,11.0,0.65,Rainy,0
1024,Chennai,Weekday,9.0,12.0,0.19,Rainy,0
1044,Kochi,Weekend,1.0,18.0,0.1,Rainy,0
1030,Trivandrum,Weekend,5.0,9.0,0.24,Cloudy,0
1038,Hyderabad,Weekend,2.0,10.0,0.12,Rainy,0
1002,Mumbai,Weekday,18.0,9.0,0.35,Sunny,0
1021,Mumbai,Weekend,4.0,3.0,0.94,Rainy,0
1033,Chennai,Weekday,6.0,5.0,0.12,Rainy,0
1012,Kochi,Weekend,6.0,17.0,0.82,Sunny,0
1022,Delhi,Weekend,9.0,10.0,0.53,Cloudy,1
1044,Trivandrum,Weekend,0.0,10.0,0.63,Rainy,0
1025,Chennai,Weekday,10.0,6.0,0.17,Cloudy,0
1049,Kochi,Weekend,22.0,4.0,0.15,Cloudy,0
1027,Bangalore,Weekday,6.0,15.0,0.16,Cloudy,0
1042,Mumbai,Weekend,5.0,16.0,0.67,Rainy,0
1028,Mumbai,Weekend,5.0,7.0,0.75,Rainy,0
